cod_ibge;municipio;state;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
1301852;Iranduba ;AM;107620;115480;116577;133741;148409;170675;181485;213322;306446;382724;382669;481446;529533;627693;625010;697064;679140
1301902;Itacoatiara ;AM;253402;273672;453744;434860;481188;576409;616318;736420;849637;1123370;1310792;1440639;1591040;1762125;1891522;1979493;1881004
1301951;Itamarati ;AM;17240;18704;18104;20602;23612;25493;28452;29854;42985;53569;57651;73384;75976;79330;84732;93869;95164
1302009;Itapiranga ;AM;17608;21158;25596;31369;28419;35815;34687;37666;82029;97911;88902;68872;80542;80512;102310;107713;109917
1302108;Japurá ;AM;13798;17197;19342;22714;25694;16768;19538;20124;32590;44743;45849;50959;58162;60551;59570;61997;62832
1302207;Juruá ;AM;13437;15373;16970;19939;23859;26707;30445;29567;48747;60860;78582;84513;84834;90422;89823;99877;103844
1302306;Jutaí ;AM;49342;57776;60337;62692;72952;62341;64232;68914;89745;112561;137652;180234;182212;196731;197969;218569;224218
1302405;Lábrea ;AM;55950;59625;63590;75482;92165;133471;181046;203744;205325;246871;318288;380687;368576;390961;449071;495747;495068
1302504;Manacapuru ;AM;320547;357289;392538;293279;352530;371972;436548;520001;647440;889481;853165;1229929;1264411;1414754;1316860;1526357;1428130
1302553;Manaquiri ;AM;29247;34425;36683;40744;46742;57657;65198;75950;124714;175844;157440;182257;206792;231559;250252;236248;275153
1302603;Manaus ;AM;17756163;21120203;25723023;28001494;32770015;36053012;39691574;42070173;50168821;55528640;55551838;63829864;67418894;67076904;70234306;73225449;78192321
1302702;Manicoré ;AM;85249;94968;94822;129173;126686;138509;166538;185465;251450;330199;374855;400950;459510;492408;476291;495881;528955
1302801;Maraã ;AM;30070;39080;39771;39080;47061;50333;62085;66072;65054;82098;85760;96880;117725;122658;141135;153885;128444
1302900;Maués ;AM;71396;81436;94317;111377;128342;167198;208429;221452;271611;301987;297319;360983;389379;380954;410786;459063;501299
1303007;Nhamundá ;AM;28545;31226;33692;42473;49514;53949;58411;63446;69664;86306;106711;128950;121117;123219;135685;142267;151529
1303106;Nova Olinda do Norte ;AM;41191;45946;50067;52853;63271;72219;86399;97315;128637;169383;152005;157883;187770;195941;212324;234351;246712
1303205;Novo Airão ;AM;17887;19153;21178;21836;23219;41027;45574;57216;73846;73078;77207;92626;112457;117037;126322;131745;136020
1303304;Novo Aripuanã ;AM;33892;38993;41525;41589;167364;113608;71216;79048;78084;116017;109590;140185;149447;157337;170246;183334;199378
1303403;Parintins ;AM;271105;252505;272566;302521;370426;352385;407811;456492;578337;770401;811867;1010620;975798;949020;1027340;1092155;1119341
1303502;Pauini ;AM;26925;30718;32704;37470;44324;46108;53561;59066;76686;98729;97520;108044;136558;139060;142491;150838;156937
1303536;Presidente Figueiredo ;AM;91287;135929;197855;185903;214652;203992;224107;251658;314535;559052;590572;722104;662828;761204;547295;445555;822429
1303569;Rio Preto da Eva ;AM;68626;79374;86078;96151;110636;118733;122999;141313;193863;268716;318300;326203;370897;444180;446859;384152;383425
1303601;Santa Isabel do Rio Negro ;AM;17829;17942;19810;18640;23314;36434;45895;50008;65376;87398;86265;104748;123219;155313;127341;122726;137548
1303700;Santo Antônio do Içá ;AM;41918;44218;48803;54871;66047;61383;70999;79789;83501;98262;107787;126286;146110;149509;163636;172833;181268
1303809;São Gabriel da Cachoeira ;AM;58797;62110;73284;87632;94560;112743;141440;166427;162583;181582;187652;216457;257234;265932;284030;314682;329147
1303908;São Paulo de Olivença ;AM;41157;44831;49851;53839;63397;70572;81699;91979;108879;129553;142979;172810;190870;193791;206312;235478;251094
1303957;São Sebastião do Uatumã ;AM;12602;13681;14953;16860;21461;24213;26590;29353;42613;55372;60508;73866;84210;84630;93403;101297;117170
1304005;Silves ;AM;22617;23853;25996;26758;30821;30934;41284;48484;48370;62113;62378;83929;74699;105001;99257;96376;101399
1304062;Tabatinga ;AM;66997;86915;95554;107747;125564;142851;160006;197632;237078;294163;275456;327177;366628;382963;423684;463248;533611
1304104;Tapauá ;AM;32676;34350;37916;41928;48124;56144;64379;72104;84359;142178;128599;152594;189775;201237;215987;338884;247513
1304203;Tefé ;AM;191904;177025;185768;229239;267434;277321;239097;255117;350169;539754;558291;540069;710995;710973;657170;746603;934211
1304237;Tonantins ;AM;21420;24462;27443;31299;39325;42061;47150;50857;58573;76576;81782;99627;107192;114685;118661;123847;133833
1304260;Uarini ;AM;22910;24942;26137;34814;41826;40787;41964;42812;78559;74985;87491;106102;121455;130831;172385;186574;187766
1304302;Urucará ;AM;44065;48267;53053;55424;69616;58845;61896;67209;102020;262260;227714;256607;302307;310200;297880;298331;330475
1304401;Urucurituba ;AM;27267;28242;29670;28083;32914;47258;51939;63039;73588;85446;99087;110166;119412;113917;124236;143101;166351
1400027;Amajari ;RR;22590;25024;27415;30654;33125;49815;55048;63955;76901;93573;104081;120398;106016;123154;142465;163113;169685
1400050;Alto Alegre ;RR;68702;75447;84664;96576;109409;92505;102266;113549;134967;148197;153345;181429;190357;221320;251016;276115;280115
1400100;Boa Vista ;RR;1821018;1966959;2112632;2392604;2902139;3187975;3671265;4338036;5123256;5539888;5835746;6705377;7353245;7581092;8110722;8947813;10042255
1400159;Bonfim ;RR;47170;50715;59326;66145;74529;76965;87302;99235;108568;124340;139877;191785;185433;224232;247398;266844;281340
1400175;Cantá ;RR;38787;42192;49196;61267;67186;80479;103291;114320;124720;148512;153467;183167;200639;209781;226193;247658;268479
1400209;Caracaraí ;RR;73387;78049;91680;102102;110888;127163;141968;177817;174394;205883;222389;258592;267044;307049;327059;347759;347038
1400233;Caroebe ;RR;24282;25782;28662;33045;37759;48301;54900;64682;73318;83313;93127;123945;132112;142421;151484;162996;178391
1400282;Iracema ;RR;21523;24317;27718;32805;42076;42502;48733;55570;76327;82427;87502;114095;119517;126537;136169;150906;159894
1400308;Mucajaí ;RR;51824;56433;63460;72758;79369;97150;108650;125201;147252;187539;176930;209439;205852;248327;270760;299920;309567
1400407;Normandia ;RR;30579;35210;38618;38457;43003;54959;64925;60622;74442;82347;86659;102878;110653;123235;129566;148455;153494
