codigo_ibge;municipio;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
1506559;Santa Luzia do Pará ;2930;2380;2375;2025;2320;1650;1650;1620;1520;1790;1570;1550
1506583;Santa Maria das Barreiras ;15050;15050;11160;11660;11210;14020;14200;19170;24534;42231;53620;88655
1506609;Santa Maria do Pará ;11855;14235;11785;10605;7910;7715;7715;5505;5622;8675;8675;5675
1506708;Santana do Araguaia ;10095;9245;9470;11370;13070;37140;64575;56270;71535;100468;100355;102370
1506807;Santarém ;65460;61730;54495;53975;54975;48090;52270;50500;48132;56182;32784;33609
1506906;Santarém Novo ;1840;1700;1115;1055;910;830;830;810;870;660;870;1491
1507003;Santo Antônio do Tauá ;1110;620;847;897;540;565;460;540;560;420;420;420
1507102;São Caetano de Odivelas ;397;367;366;328;329;745;745;681;690;787;787;787
1507151;São Domingos do Araguaia ;6970;6970;6465;5107;5107;4208;3808;4000;3405;4425;4425;2965
1507201;São Domingos do Capim ;5935;9575;9495;9455;8435;7570;7570;10660;10665;7500;7535;7535
1507300;São Félix do Xingu ;11158;14185;14922;17293;15160;15270;14495;15237;15796;5412;6630;6596
1507409;São Francisco do Pará ;3055;3125;4480;1551;1551;5015;5015;3670;4330;4615;4685;4685
1507458;São Geraldo do Araguaia ;11688;8738;8913;7523;7313;9948;10698;10190;5835;6435;6940;4315
1507466;São João da Ponta ;1169;1169;1169;1100;1123;445;455;457;477;453;236;206
1507474;São João de Pirabas ;980;945;710;710;610;510;506;506;440;460;495;303
1507508;São João do Araguaia ;5140;5140;4180;5620;5620;5620;1310;1120;2020;1450;1450;1450
1507607;São Miguel do Guamá ;3523;7333;8116;7958;7850;7950;6058;4748;6880;6608;6008;6408
1507706;São Sebastião da Boa Vista ;195;357;560;590;680;235;150;85;70;70;70;50
1507755;Sapucaia ;1875;799;528;510;1035;1292;1103;1090;485;524;516;696
1507805;Senador José Porfírio ;3665;3682;3269;2639;2003;2199;1474;1404;2204;1729;1729;1119
1507904;Soure ;0;0;0;0;0;0;0;0;0;0;0;0
1507953;Tailândia ;1852;1950;2110;3315;5925;7125;9365;14285;15870;13375;23940;23940
1507961;Terra Alta ;1153;753;736;746;741;852;852;932;918;892;85;85
1507979;Terra Santa ;757;539;550;524;283;61;67;97;82;88;84;87
1508001;Tomé-Açu ;12350;12916;12904;13000;11550;8700;12730;6530;4930;2350;3460;3140
1508035;Tracuateua ;7043;5828;4770;6548;5577;4328;4714;5709;4714;6483;4105;4972
1508050;Trairão ;8576;8817;10334;9219;9119;9249;9227;9227;8917;8489;8917;10567
1508084;Tucumã ;1006;957;872;855;908;960;1043;1166;1142;1342;1212;1419
1508100;Tucuruí ;5800;7300;8200;8700;10500;11200;11640;9540;9940;9940;1830;35
1508126;Ulianópolis ;31340;31110;31852;31421;30500;56975;64758;60484;75000;75569;88570;77063
1508159;Uruará ;4968;4606;5594;4391;4456;4629;4754;4033;3211;3309;3309;3419
1508209;Vigia ;726;548;698;488;693;750;510;420;415;510;510;510
1508308;Viseu ;6954;7572;6607;7457;7832;7900;7470;8145;13330;12430;6280;6855
1508357;Vitória do Xingu ;2715;2715;2477;2252;2118;1545;1525;1518;955;858;858;808
1508407;Xinguara ;3086;2529;3448;2220;2322;2457;2881;2857;2045;2334;2239;1255
1600055;Serra do Navio ;920;1070;1144;1050;1002;958;1079;937;930;951;719;692
1600105;Amapá ;400;422;449;472;475;436;477;458;400;426;358;575
1600154;Pedra Branca do Amapari ;1559;1760;1830;1685;1690;1705;1948;1683;1620;1671;1295;1266
1600204;Calçoene ;1035;1183;1261;1240;1205;1156;1337;1172;1093;1145;865;879
1600212;Cutias ;408;452;492;475;400;382;436;381;359;396;343;338
1600238;Ferreira Gomes ;588;650;707;695;635;637;716;630;640;701;529;1223
1600253;Itaubal ;1721;1690;1763;1365;1335;2560;5163;3638;4596;5563;4436;4005
1600279;Laranjal do Jari ;1405;1612;1772;1705;1646;1508;1708;1455;1400;1429;1192;1181
1600303;Macapá ;1471;1593;1800;2060;1782;4669;14441;9923;12476;15070;10038;9320
1600402;Mazagão ;1260;1417;1520;1640;1461;1380;1586;1385;1382;1420;1117;1112
1600501;Oiapoque ;1878;2082;2287;2715;2625;2290;2541;2277;2109;2288;1800;1827
1600535;Porto Grande ;1436;1566;1759;1639;1631;1551;1822;1658;1578;1720;1302;2317
